nomopera;ndias;v_codigbus;v_edad;ndias_ant;ndias_ant_area;ndias_ant_tipo;capacidad;marca;modelo;potencia;tipo;subtipo
Reparar travesaño;1;H086;11;7;4155;4155;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Reparar travesaño;1;H086;11;7;4155;4155;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Reparar travesaño;1;H086;11;7;4155;4155;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Reparar travesaño;1;H086;11;7;4155;4155;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Reparar travesaño;1;H086;11;7;4155;4155;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Reparar travesaño;1;H086;11;7;4155;4155;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Reparar travesaño;1;H086;11;7;4155;4155;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Reparar travesaño;1;H086;11;7;4155;4155;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Reparar travesaño;1;H086;11;7;4155;4155;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Reparar travesaño;1;H086;11;7;4155;4155;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Reparar travesaño;1;H086;11;7;4155;4155;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Reparar travesaño;1;H086;11;7;4155;4155;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Reparar travesaño;1;H086;11;7;4155;4155;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Reparar travesaño;1;H086;11;7;4155;4155;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Reparar travesaño;1;H086;11;7;4155;4155;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Reparar travesaño;1;H086;11;7;4155;4155;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Reparar travesaño;1;H086;11;7;4155;4155;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Compresor a.a;3;X110;12;9;9;448;16;FORD;TRANSIT;92;Discrecional;Microbus
Cambiar/limpiar filtros;3;X110;12;9;17;78;16;FORD;TRANSIT;92;Discrecional;Microbus
Fuga refrigerante;2;T276;8;9;9;163;35;MAN;OPALIN;176;Discrecional;Midibus
Arranque;2;U304;15;5;5;5325;77;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Caja cambios;19;B130;11;57;57;869;55;SCANIA;CENTURY;280;Discrecional;Normal
Kit embrague;19;B130;11;57;86;869;55;SCANIA;CENTURY;280;Discrecional;Normal
Bombin embrague;19;B130;11;57;57;712;55;SCANIA;CENTURY;280;Discrecional;Normal
Mando emergencia;6;B132;10;3;8;3796;41;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Cuadro;6;B132;10;3;8;1219;41;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Fallo en ABS/EBS;6;B132;10;3;8;3796;41;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Instalaciones electricas;6;B132;10;3;8;683;41;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Tensores correas;1;C101;11;16;76;192;55;MAN;LION'S TOP COACH;338;Discrecional;Normal
Cambiar/limpiar filtros;1;C101;11;16;16;189;55;MAN;LION'S TOP COACH;338;Discrecional;Normal
Pinza freno;2;H110;10;1;19;498;66;SCANIA;HABIT;169;Urbano;Midibus
Fuga refrigerante;2;U208;34;2;7;198;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fuelle 1º eje derecho;2;B129;11;9;9;4097;55;MAN;DIVO II;338;Discrecional;Normal
Fuelle2º eje izquierdo delantero;2;B129;11;9;9;4097;55;MAN;DIVO II;338;Discrecional;Normal
Motor evaporacion;2;B129;11;9;9;4097;55;MAN;DIVO II;338;Discrecional;Normal
Cambiar turbina/motor condensadora;2;B129;11;9;9;429;55;MAN;DIVO II;338;Discrecional;Normal
Timoneria cambio;2;T298;9;3;3;223;43;IVECO;MIDI STAR;220;Discrecional;Midibus
Kit embrague;5;C098;10;18;58;1005;55;IVECO;TOURING III;316;Discrecional;Normal
Paragolpes trasero;5;C098;10;18;3555;1005;55;IVECO;TOURING III;316;Discrecional;Normal
Servo embrague;5;C098;10;18;58;897;55;IVECO;TOURING III;316;Discrecional;Normal
